alpha_em,beta_kl,gamma_reg,val_em,val_w1,val_mae,selection_metric
1.25,0.35,0.4,0.4703,0.9355,0.6043,0.6359
1.75,0.5,0.3,0.4728,0.9317,0.6081,0.6346
1.5,0.5,0.2,0.4817,0.9191,0.6308,0.6258
1.75,0.35,0.4,0.469,0.9317,0.622,0.6239
1.5,0.35,0.4,0.4716,0.9254,0.622,0.6233
1.5,0.35,0.3,0.4614,0.9368,0.6144,0.6226
1.5,0.35,0.2,0.4627,0.9305,0.6271,0.6144
1.25,0.65,0.4,0.4539,0.9393,0.622,0.6125
1.25,0.35,0.3,0.4652,0.9292,0.6359,0.6119
1.75,0.35,0.3,0.4539,0.9355,0.622,0.6106
1.75,0.35,0.2,0.4513,0.9381,0.6207,0.61
1.5,0.65,0.4,0.4589,0.9305,0.6334,0.6075
1.75,0.65,0.4,0.4564,0.9254,0.6308,0.6037
1.5,0.65,0.3,0.4551,0.9292,0.6346,0.6024
1.25,0.5,0.3,0.4513,0.9305,0.6321,0.6005
1.5,0.65,0.2,0.4463,0.9292,0.6372,0.5923
1.25,0.35,0.2,0.4513,0.9229,0.6473,0.5891
1.75,0.5,0.2,0.4526,0.9166,0.6435,0.5891
1.25,0.5,0.2,0.4501,0.9229,0.6511,0.586
1.25,0.5,0.4,0.4513,0.9241,0.6574,0.5847
1.75,0.5,0.4,0.4576,0.9077,0.6675,0.5777
1.5,0.5,0.4,0.4513,0.914,0.6713,0.5727
1.25,0.65,0.3,0.4526,0.9102,0.67,0.5727
1.25,0.65,0.2,0.4551,0.9027,0.6789,0.567
1.5,0.5,0.3,0.4362,0.9241,0.6637,0.5664
1.75,0.65,0.2,0.426,0.9153,0.6802,0.5436
1.75,0.65,0.3,0.4147,0.9115,0.6903,0.5253
