variable,coefficient,std_err,z_stat,p_value
R006,-0.03501305936136901,0.052572866981379106,-0.6659910591098325,0.5054168152557714
R064,-0.9446785053984149,0.06888074083060398,-13.714697228963173,8.291176797491929e-43
R085,-0.18893682202812048,0.05112920215653685,-3.695282031776531,0.00021964284051944152
R133,-0.09680489965010203,0.04395809342939307,-2.2022087879128156,0.027650563591393302
R157,-0.19462015770904012,0.045555205740049,-4.272182608933834,1.9356895611098673e-05
R182,-0.0008349021553252352,0.03638897384056206,-0.022943822460708866,0.9816950843160887
industry_avg_rating_lag1_self_excl,0.33414386274543223,0.04291026210112049,7.787038493449494,6.85980580666877e-15
cap_change_count_3y,0.17849105185766728,0.049175784042929445,3.6296534022080515,0.00028380203260423484
log_assets,-0.9423752426099883,0.0502096255491055,-18.768816383391194,1.3587919325924582e-78
operating_loss_freq_3y,0.3942445376312148,0.04884338831135229,8.071605006558965,6.938001583060308e-16
ratio_missing_rate,-0.07300925457922543,0.0432786443832825,-1.6869579816928635,0.09161143174057876
1/2,-6.115942287807284,0.2765135945670793,-22.118052811770962,2.1187804785786847e-108
2/3,1.192247070208629,0.08129738608066162,14.665257121867432,1.0760875714308515e-48
3/4,0.8605191545894263,0.03656378197927268,23.534741430118974,1.7991023722987631e-122
4/5,0.6560645498979273,0.035642696047743026,18.406703831245974,1.1607573181806743e-75
5/6,0.7823727066514148,0.04923890670603674,15.889319219094178,7.513916277215985e-57
6/7,0.8197197625328041,0.09458049207820683,8.666901012261526,4.440406922297787e-18
7/9,-0.6613544204735526,0.30256376634397586,-2.185834835628263,0.0288276911418162
9/10,0.3804196383202386,0.30044989993085014,1.2661666334646604,0.20545343060820742
