거래소코드,시장,산업코드,산업명,업종코드,회사명,stage00_01_context_source
296520,KONEX,,,,(주)가이아코퍼레이션,data\raw\raw_nonfinancial\konex_optional\코넥스_전업종_회사의 연혁.xlsx
244880,KONEX,,,,(주)나눔테크,data\raw\raw_nonfinancial\konex_optional\코넥스_전업종_회사의 연혁.xlsx
257990,KONEX,,,,(주)나우코스,data\raw\raw_nonfinancial\konex_optional\코넥스_전업종_회사의 연혁.xlsx
317860,KONEX,,,,(주)노드메이슨,data\raw\raw_nonfinancial\konex_optional\코넥스_전업종_회사의 연혁.xlsx
229500,KONEX,,,,(주)노브메타파마,data\raw\raw_nonfinancial\konex_optional\코넥스_전업종_회사의 연혁.xlsx
302920,KONEX,,,,(주)더콘텐츠온,data\raw\raw_nonfinancial\konex_optional\코넥스_전업종_회사의 연혁.xlsx
199150,KONEX,,,,(주)데이터스트림즈,data\raw\raw_nonfinancial\konex_optional\코넥스_전업종_회사의 연혁.xlsx
403360,KONEX,,,,(주)라피치,data\raw\raw_nonfinancial\konex_optional\코넥스_전업종_회사의 연혁.xlsx
266170,KONEX,,,,(주)레드우즈,data\raw\raw_nonfinancial\konex_optional\코넥스_전업종_회사의 연혁.xlsx
238500,KONEX,,,,(주)로보쓰리에이아이,data\raw\raw_nonfinancial\konex_optional\코넥스_전업종_회사의 연혁.xlsx
223220,KONEX,,,,(주)로지스몬,data\raw\raw_nonfinancial\konex_optional\코넥스_전업종_회사의 연혁.xlsx
162120,KONEX,,,,(주)루켄테크놀러지스,data\raw\raw_nonfinancial\konex_optional\코넥스_전업종_회사의 연혁.xlsx
253610,KONEX,,,,(주)루트락,data\raw\raw_nonfinancial\konex_optional\코넥스_전업종_회사의 연혁.xlsx
448780,KONEX,,,,(주)마이크로엔엑스,data\raw\raw_nonfinancial\konex_optional\코넥스_전업종_회사의 연혁.xlsx
179720,KONEX,,,,(주)머니무브,data\raw\raw_nonfinancial\konex_optional\코넥스_전업종_회사의 연혁.xlsx
200580,KONEX,,,,(주)메디쎄이,data\raw\raw_nonfinancial\konex_optional\코넥스_전업종_회사의 연혁.xlsx
233250,KONEX,,,,(주)메디안디노스틱,data\raw\raw_nonfinancial\konex_optional\코넥스_전업종_회사의 연혁.xlsx
236340,KONEX,,,,(주)메디젠휴먼케어,data\raw\raw_nonfinancial\konex_optional\코넥스_전업종_회사의 연혁.xlsx
322970,KONEX,,,,(주)무진메디,data\raw\raw_nonfinancial\konex_optional\코넥스_전업종_회사의 연혁.xlsx
208890,KONEX,,,,(주)미래엔에듀파트너,data\raw\raw_nonfinancial\konex_optional\코넥스_전업종_회사의 연혁.xlsx
351020,KONEX,,,,(주)미쥬,data\raw\raw_nonfinancial\konex_optional\코넥스_전업종_회사의 연혁.xlsx
354390,KONEX,,,,(주)바스칸바이오제약,data\raw\raw_nonfinancial\konex_optional\코넥스_전업종_회사의 연혁.xlsx
266470,KONEX,,,,(주)바이오인프라생명과학,data\raw\raw_nonfinancial\konex_optional\코넥스_전업종_회사의 연혁.xlsx
199290,KONEX,,,,(주)바이오프로테크,data\raw\raw_nonfinancial\konex_optional\코넥스_전업종_회사의 연혁.xlsx
496320,KONEX,,,,(주)본시스템즈,data\raw\raw_nonfinancial\konex_optional\코넥스_전업종_회사의 연혁.xlsx
206950,KONEX,,,,(주)볼빅,data\raw\raw_nonfinancial\konex_optional\코넥스_전업종_회사의 연혁.xlsx
191600,KONEX,,,,(주)블루탑,data\raw\raw_nonfinancial\konex_optional\코넥스_전업종_회사의 연혁.xlsx
185190,KONEX,,,,(주)수프로,data\raw\raw_nonfinancial\konex_optional\코넥스_전업종_회사의 연혁.xlsx
217320,KONEX,,,,(주)썬테크,data\raw\raw_nonfinancial\konex_optional\코넥스_전업종_회사의 연혁.xlsx
236030,KONEX,,,,(주)씨알푸드,data\raw\raw_nonfinancial\konex_optional\코넥스_전업종_회사의 연혁.xlsx
103660,KONEX,,,,(주)씨앗,data\raw\raw_nonfinancial\konex_optional\코넥스_전업종_회사의 연혁.xlsx
245450,KONEX,,,,(주)씨앤에스링크,data\raw\raw_nonfinancial\konex_optional\코넥스_전업종_회사의 연혁.xlsx
403810,KONEX,,,,(주)아이엘로보틱스,data\raw\raw_nonfinancial\konex_optional\코넥스_전업종_회사의 연혁.xlsx
456570,KONEX,,,,(주)아이엠지티,data\raw\raw_nonfinancial\konex_optional\코넥스_전업종_회사의 연혁.xlsx
447690,KONEX,,,,(주)아이오바이오,data\raw\raw_nonfinancial\konex_optional\코넥스_전업종_회사의 연혁.xlsx
