standard_item,stage2_role,statement_type,item_code,item_name,non_missing_rate,aliases
CAPEX_proxy,CAPEX_proxy,현금흐름표,U01D206012400,유형자산의 증가(IFRS)(천원)         유형자산의 증가(IFRS)(천원)(IFRS)(천원),0.9392,
감가상각비,감가상각비,손익계산서,U01B350014100,감가상각비(IFRS)(천원)      감가상각비(IFRS)(천원)(IFRS)(천원),0.9392,
계속사업이익,계속사업이익,손익계산서,U01B800000000,계속영업이익(손실)(IFRS)(천원)   계속영업이익(손실)(IFRS)(천원)(IFRS)(천원),0.9392,U01B800000000|U02B800000000|U03B800000000|U04B800000000
금융비용,금융비용,손익계산서,U01B550000000,금융원가(IFRS)(천원)   금융원가(IFRS)(천원)(IFRS)(천원),0.9392,
단기금융상품,단기금융상품,재무상태표,U01A111043200,단기금융상품(금융기관예치금)(IFRS)(천원)            단기금융상품(금융기관예치금)(IFRS)(천원)(IFRS)(천원),0.9392,
단기차입금,단기차입금,재무상태표,U01A811026700,단기차입금(IFRS)(천원)         단기차입금(IFRS)(천원)(IFRS)(천원),0.9392,
당기순이익,당기순이익,손익계산서,U01B840000000,당기순이익(손실)(IFRS)(천원)   당기순이익(손실)(IFRS)(천원)(IFRS)(천원),0.9392,
매입채무,매입채무,재무상태표,U01A811030700,매입채무 및 기타유동채무(IFRS)(천원)         매입채무 및 기타유동채무(IFRS)(천원)(IFRS)(천원),0.9392,
매출액,매출액,손익계산서,U01B100000000,매출액(수익)(IFRS)(천원)   매출액(수익)(IFRS)(천원)(IFRS)(천원),0.9392,U01B100000000|U02B100000000|U03B100000000|U04B100000000
매출원가,매출원가,손익계산서,U01B200000000,매출원가(IFRS)(천원)   매출원가(IFRS)(천원)(IFRS)(천원),0.9392,
매출채권,매출채권,재무상태표,U01A111045400,매출채권 및 기타유동채권(IFRS)(천원)         매출채권 및 기타유동채권(IFRS)(천원)(IFRS)(천원),0.9392,
