alias_ratio_id,ratio_name_ko,category,canonical_ratio_id,duplicate_alias_type,duplicate_alias_reason,stage3_exclude,quality_pass,selected_eligible
R001,매출총이익률,수익성,R001,,,False,True,True
R002,영업이익률,수익성,R002,,,False,True,True
R003,정상영업이익률,수익성,R002,exact_value_alias,정상영업이익률 maps to the same executable formula as 영업이익률 in the current source mapping.,True,True,False
R004,EBIT마진,수익성,R002,exact_value_alias,EBIT마진 maps to the same executable formula as 영업이익률 in the current source mapping.,True,True,False
R005,EBITDA마진,수익성,R005,,,False,True,True
R006,세전이익률,수익성,R006,,,False,True,True
R007,순이익률,수익성,R007,,,False,True,True
R008,계속사업이익률,수익성,R008,,,False,True,True
R009,총포괄이익률,수익성,R009,,,False,True,True
R010,영업현금흐름마진,수익성,R010,,,False,True,True
R012,매출총이익/총자산,수익성,R012,,,False,True,True
R013,영업이익/총자산,수익성,R013,,,False,True,True
R014,EBIT/총자산,수익성,R013,exact_value_alias,EBIT/총자산 maps to the same executable formula as 영업이익/총자산.,True,True,False
R015,EBITDA/총자산,수익성,R015,,,False,True,True
R016,세전이익/총자산,수익성,R016,,,False,True,True
R017,당기순이익/총자산(ROA),수익성,R017,,,False,True,True
R018,총포괄이익/총자산,수익성,R018,,,False,True,True
R019,영업현금흐름/총자산,수익성,R019,,,False,True,True
R021,영업이익/자기자본,수익성,R021,,,False,True,True
R022,당기순이익/자기자본(ROE),수익성,R022,,,False,True,True
R023,총포괄이익/자기자본,수익성,R023,,,False,True,True
R031,현금이익전환율,수익성,R031,,,False,True,True
R032,영업현금흐름/영업이익,수익성,R032,,,False,True,True
R033,EBITDA 대비 OCF,수익성,R033,,,False,True,True
R043,부채비율,안정성,R043,,,False,True,True
R044,총부채/총자산,안정성,R044,,,False,True,True
R045,자기자본비율,안정성,R045,,,False,True,True
R046,차입금의존도,안정성,R046,,,False,True,True
R047,순차입금의존도,안정성,R047,,,False,True,True
R048,유이자부채/총자산,안정성,R048,,,False,True,True
R049,금융부채/총부채,안정성,R049,,,False,True,True
R050,총차입금/자기자본,안정성,R050,,,False,True,True
R051,순차입금/자기자본,안정성,R051,,,False,True,True
R052,유이자부채/자기자본,안정성,R052,,,False,True,True
R053,유동부채비율,안정성,R053,,,False,True,True
R054,비유동부채비율,안정성,R054,,,False,True,True
R055,유동부채/총부채,안정성,R055,,,False,True,True
R056,비유동부채/총부채,안정성,R056,,,False,True,True
R057,단기차입금비중,안정성,R057,,,False,False,False
R058,장기차입금비중,안정성,R058,,,False,False,False
R059,단기금융부채/총자산,안정성,R059,,,False,True,True
R060,장기금융부채/총자산,안정성,R060,,,False,True,True
R061,순차입금/총차입금,안정성,R061,,,False,False,False
R063,유보율,안정성,R063,,,False,True,True
R064,이익잉여금/총자산,안정성,R064,,,False,True,True
R065,이익잉여금/자기자본,안정성,R065,,,False,True,True
R067,자본금/총자산,안정성,R067,,,False,True,True
R071,비유동비율,안정성,R071,,,False,True,True
R076,순운전자본/총자산,안정성,R076,,,False,True,True
R077,운전자본/매출액,안정성,R077,,,False,True,True
