ratio_id,ratio_name,category,quality_pass,selected_eligible,duplicate_alias_of,duplicate_alias_type,duplicate_alias_reason
R003,정상영업이익률,수익성,True,False,R002,exact_value_alias,정상영업이익률 maps to the same executable formula as 영업이익률 in the current source mapping.
R004,EBIT마진,수익성,True,False,R002,exact_value_alias,EBIT마진 maps to the same executable formula as 영업이익률 in the current source mapping.
R014,EBIT/총자산,수익성,True,False,R013,exact_value_alias,EBIT/총자산 maps to the same executable formula as 영업이익/총자산.
R080,EBIT 이자보상배율,부채상환능력,True,False,R079,exact_value_alias,EBIT 이자보상배율 is identical to 이자보상배율 under the current EBIT mapping.
R086,이자비용/매출액,부채상환능력,True,False,R085,exact_value_alias,이자비용/매출액 uses the same numerator item code as 금융비용부담률; not an independent ratio in the current source mapping.
R088,이자비용/EBITDA,부채상환능력,True,False,R089,exact_value_alias,이자비용/EBITDA uses the same numerator item code as 금융비용/EBITDA; keep the semantically accurate financial-cost ratio.
R114,순차입금상환가능기간,부채상환능력,True,False,R102,exact_value_alias,순차입금상환가능기간 is identical to 순차입금/EBITDA.
R118,순운전자본비율,유동성,True,False,R076,exact_value_alias,순운전자본비율 is identical to 순운전자본/총자산.
R119,순운전자본/매출액,유동성,True,False,R077,exact_value_alias,순운전자본/매출액 is identical to 운전자본/매출액.
R127,현금성자산/유동부채,유동성,True,False,R117,exact_value_alias,현금성자산/유동부채 is identical to 현금비율.
R131,OCF/유동부채,유동성,True,False,R094,exact_value_alias,OCF/유동부채 duplicates the debt-service OCF/유동부채 ratio.
R163,재고보유기간,활동성,True,False,R159,exact_value_alias,재고보유기간 is identical to 재고자산회전일수.
R164,매출채권회수기간,활동성,True,False,R158,exact_value_alias,매출채권회수기간 is identical to 매출채권회전일수.
R165,매입채무지급기간,활동성,True,False,R160,exact_value_alias,매입채무지급기간 is identical to 매입채무회전일수.
R172,정상영업이익증가율,성장성,False,False,R171,exact_value_alias,정상영업이익증가율 maps to the same executable formula as 영업이익증가율.
R173,EBIT증가율,성장성,False,False,R171,exact_value_alias,EBIT증가율 maps to the same executable formula as 영업이익증가율.
R185,이익잉여금증가율,성장성,True,False,R241,exact_value_alias,R185 and R241 are both 이익잉여금증가율 and value-identical in current Stage00_02 artifacts; keep R241 as current canonical selected growth variable.
R210,Altman 운전자본/총자산,기타/복합,True,False,R076,exact_value_alias,Altman 운전자본/총자산 is identical to 순운전자본/총자산.
R211,Altman 이익잉여금/총자산,기타/복합,True,False,R064,exact_value_alias,Altman 이익잉여금/총자산 is identical to 이익잉여금/총자산.
R216,OCF/매출액,기타/복합,True,False,R010,exact_value_alias,OCF/매출액 is identical to 영업현금흐름마진.
