code,year,reason
000100,2008,market_transfer
000100,2009,market_transfer
000100,2010,market_transfer
000100,2012,market_transfer
000100,2013,market_transfer
000100,2014,market_transfer
000100,2015,market_transfer
000100,2016,market_transfer
000100,2017,market_transfer
000100,2018,market_transfer
000100,2019,market_transfer
000100,2020,market_transfer
000100,2021,market_transfer
000100,2022,market_transfer
000100,2023,market_transfer
001200,2013,fiscal_year_change
001270,2014,fiscal_year_change
001500,2013,fiscal_year_change
001510,2013,fiscal_year_change
001750,2014,fiscal_year_change
003530,2013,fiscal_year_change
003690,2013,fiscal_year_change
008560,2013,fiscal_year_change
016360,2013,fiscal_year_change
016610,2013,fiscal_year_change
020560,2003,market_transfer
020560,2004,market_transfer
020560,2005,market_transfer
022100,2006,market_transfer
022100,2007,market_transfer
022100,2008,market_transfer
026960,2010,market_transfer
026960,2011,market_transfer
026960,2012,market_transfer
026960,2013,market_transfer
026960,2014,market_transfer
026960,2015,market_transfer
030610,2013,fiscal_year_change
032680,2012,fiscal_year_change
032830,2013,fiscal_year_change
033250,2023,fiscal_year_change
034230,2011,market_transfer
034230,2012,market_transfer
034230,2013,market_transfer
034230,2014,market_transfer
034230,2015,market_transfer
034230,2016,market_transfer
034230,2017,market_transfer
034230,2018,market_transfer
034230,2019,market_transfer
034230,2020,market_transfer
034230,2021,market_transfer
034230,2022,market_transfer
034230,2023,market_transfer
035510,2004,market_transfer
035720,2016,market_transfer
036420,2007,market_transfer
036420,2008,market_transfer
036420,2009,market_transfer
036420,2010,market_transfer
036420,2011,market_transfer
036420,2012,market_transfer
036420,2013,market_transfer
036420,2014,market_transfer
036420,2015,market_transfer
036420,2016,market_transfer
036420,2017,market_transfer
036420,2018,market_transfer
037620,2013,fiscal_year_change
039130,2010,market_transfer
039490,2013,fiscal_year_change
042370,2014,fiscal_year_change
054180,2019,fiscal_year_change
071050,2013,fiscal_year_change
100090,2015,market_transfer
100090,2016,market_transfer
100090,2017,market_transfer
100090,2022,market_transfer
138040,2013,fiscal_year_change
000100,2008,market_transfer
000100,2009,market_transfer
000100,2010,market_transfer
000100,2012,market_transfer
000100,2013,market_transfer
000100,2014,market_transfer
000100,2015,market_transfer
000100,2016,market_transfer
000100,2017,market_transfer
000100,2018,market_transfer
