ratio_id,ratio_name,category,status,nan_count,zero_denom_count,neg_denom_count,min,p1,median,p99,max
R001,매출총이익률,수익성,calculated,526,2,49,-1.4153291287435326,-0.1651177401371719,0.17106717924943454,1.0,1.0
R002,영업이익률,수익성,calculated,526,2,49,-30.307276521016654,-1.1582393042357897,0.04048470579405093,0.5111250790632003,1.080320002910449
R003,정상영업이익률,수익성,calculated,526,2,49,-30.307276521016654,-1.1582393042357897,0.04048470579405093,0.5111250790632003,1.080320002910449
R004,EBIT마진,수익성,calculated,526,2,49,-30.307276521016654,-1.1582393042357897,0.04048470579405093,0.5111250790632003,1.080320002910449
R005,EBITDA마진,수익성,calculated,526,2,49,-28.861347671739868,-1.1094353691363097,0.04858272428177518,0.539567794234658,1.1868608588092107
R006,세전이익률,수익성,calculated,526,2,49,-45.54172860842799,-2.6882660584194036,0.038111710379521505,0.8097013652372769,7.491490396669424
R007,순이익률,수익성,calculated,526,2,49,-126.29902918297762,-2.939244444164712,0.03189053045121625,0.815009579792003,625.4859877624498
R008,계속사업이익률,수익성,calculated,241,2,49,-213.64318977448505,-4.967982033530392,0.03396293277865148,1.467222103380841,103.63349736918977
R009,총포괄이익률,수익성,calculated,526,2,49,-127.85173314623911,-2.803724617223609,0.03134593743233778,0.933832400574254,625.7563029660262
R010,영업현금흐름마진,수익성,calculated,526,2,49,-122.61896295587606,-1.0408982458539948,0.05398479782583193,0.5776083768360667,63.58184369913799
R012,매출총이익/총자산,수익성,calculated,608,0,0,-0.42578723107058025,-0.0648716574613161,0.12599273999188118,0.9060683538146601,1.794734595821526
R013,영업이익/총자산,수익성,calculated,608,0,0,-0.7391082582692828,-0.22869568792556647,0.03178915612580216,0.23042405298165045,0.7786424169580558
R014,EBIT/총자산,수익성,calculated,608,0,0,-0.7391082582692828,-0.22869568792556647,0.03178915612580216,0.23042405298165045,0.7786424169580558
R015,EBITDA/총자산,수익성,calculated,608,0,0,-0.7167135418408184,-0.2176265109957233,0.03684542696865931,0.2452523705091736,0.7820792351091767
R016,세전이익/총자산,수익성,calculated,608,0,0,-2.7176596559556745,-0.4805574693335035,0.031214599078393593,0.2751444604566786,0.9052466346560815
R017,당기순이익/총자산(ROA),수익성,calculated,608,0,0,-2.822606278991671,-0.49649931828556176,0.026814247443799323,0.24604545588371363,2.9144216941499264
R018,총포괄이익/총자산,수익성,calculated,608,0,0,-2.7764862601439546,-0.4977703729495203,0.026675414934449172,0.25663720656862066,2.915681214761059
R019,영업현금흐름/총자산,수익성,calculated,608,0,0,-0.5296051232915074,-0.22376915412387968,0.04295692883888692,0.28991607742093845,0.8434671239752953
