ratio_id,ratio_name_ko,category,required_items,all_items_found,missing_items,ambiguous_items,available_firm_year_count,available_firm_year_rate,eligible_for_direct_calculation,fallback_possible,fallback_source,decision,availability_status,requires_lag,requires_average_denominator,requires_growth_base,priority
R001,매출총이익률,수익성,U01B201014400|U01B100000000,True,,,4457,0.9392,True,False,,use_direct,available_direct,False,False,False,확장
R002,영업이익률,수익성,U01B430000000|U01B100000000,True,,,4457,0.9392,True,False,,use_direct,available_direct,False,False,False,핵심
R003,정상영업이익률,수익성,U01B430000000|U01B100000000,True,,,4457,0.9392,True,False,,use_direct,available_direct,False,False,False,확장
R004,EBIT마진,수익성,U01B430000000|U01B100000000,True,,,4457,0.9392,True,False,,use_derived_component,available_derived,False,False,False,확장
R005,EBITDA마진,수익성,U01B350014100|U01B430000000|U01B350014300|U01B100000000,True,,,4457,0.9392,True,False,,use_derived_component,available_derived,False,False,False,핵심
R006,세전이익률,수익성,U01B100000000|U01B700000000,True,,,4457,0.9392,True,False,,use_direct,available_direct,False,False,False,확장
R007,순이익률,수익성,U01B840000000|U01B100000000,True,,,4457,0.9392,True,False,,use_direct,available_direct,False,False,False,확장
R008,계속사업이익률,수익성,U01B800000000|U01B100000000,True,,,4457,0.9392,True,False,,use_direct,available_direct,False,False,False,확장
R009,총포괄이익률,수익성,U01B900000000|U01B100000000,True,,,4457,0.9392,True,False,,use_direct,available_direct,False,False,False,확장
R010,영업현금흐름마진,수익성,U01D100000000|U01B100000000,True,,,4457,0.9392,True,False,,use_direct,available_direct,False,False,False,핵심
R012,매출총이익/총자산,수익성,U01B201014400|U01A100000000,True,,,4457,0.9392,True,False,,use_direct,available_with_lag,True,True,False,확장
R013,영업이익/총자산,수익성,U01B430000000|U01A100000000,True,,,4457,0.9392,True,False,,use_direct,available_with_lag,True,True,False,확장
R014,EBIT/총자산,수익성,U01B430000000|U01A100000000,True,,,4457,0.9392,True,False,,use_derived_component,available_derived,True,True,False,확장
R015,EBITDA/총자산,수익성,U01B350014100|U01B430000000|U01B350014300|U01A100000000,True,,,4457,0.9392,True,False,,use_derived_component,available_derived,True,True,False,확장
R016,세전이익/총자산,수익성,U01A100000000|U01B700000000,True,,,4457,0.9392,True,False,,use_direct,available_with_lag,True,True,False,확장
R017,당기순이익/총자산(ROA),수익성,U01B840000000|U01A100000000,True,,,4457,0.9392,True,False,,use_direct,available_with_lag,True,True,False,핵심
R018,총포괄이익/총자산,수익성,U01B900000000|U01A100000000,True,,,4457,0.9392,True,False,,use_direct,available_with_lag,True,True,False,확장
