거래소코드,year,시장
000020,2009,KOSPI
000020,2024,KOSPI
000100,2011,KOSPI
000100,2024,KOSPI
000110,2003,KOSPI
000120,2010,KOSPI
000120,2014,KOSPI
000140,2009,KOSPI
000180,2009,KOSPI
000180,2011,KOSPI
000180,2015,KOSPI
000180,2018,KOSPI
000210,2019,KOSPI
000230,2016,KOSPI
000240,2011,KOSPI
000250,2024,KOSDAQ
000320,2012,KOSPI
000370,2013,KOSPI
000370,2019,KOSPI
000390,2019,KOSPI
000420,2007,KOSPI
000640,2020,KOSPI
000660,2015,KOSPI
000660,2022,KOSPI
000670,2024,KOSPI
000680,2021,KOSPI
000680,2024,KOSPI
000700,2024,KOSPI
000790,2006,KOSPI
000810,2013,KOSPI
000810,2017,KOSPI
000810,2019,KOSPI
000810,2021,KOSPI
000860,2024,KOSPI
000990,2016,KOSPI
000990,2024,KOSPI
001060,2024,KOSPI
001070,2021,KOSPI
001120,2024,KOSPI
001140,2009,KOSPI
001200,2011,KOSPI
001200,2015,KOSPI
001210,2015,KOSPI
001210,2024,KOSPI
001230,2024,KOSPI
001250,2005,KOSPI
001250,2008,KOSPI
001270,2023,KOSPI
001290,2024,KOSPI
001340,2024,KOSPI
001430,2022,KOSPI
001440,2017,KOSPI
001450,2013,KOSPI
001500,2024,KOSPI
001510,2024,KOSPI
001520,2019,KOSPI
001540,2024,KOSDAQ
001560,2024,KOSPI
001620,2024,KOSPI
001630,2012,KOSPI
001630,2020,KOSPI
001680,2005,KOSPI
001720,2005,KOSPI
001720,2007,KOSPI
001720,2016,KOSPI
001720,2024,KOSPI
001740,2024,KOSPI
001750,2016,KOSPI
001750,2024,KOSPI
001780,2014,KOSPI
001780,2022,KOSPI
001780,2024,KOSPI
001810,2010,KOSDAQ
001810,2012,KOSDAQ
001830,2006,KOSPI
001880,2015,KOSPI
001880,2022,KOSPI
001940,2024,KOSPI
002030,2018,KOSPI
002100,2023,KOSPI
002150,2010,KOSPI
002150,2024,KOSPI
002240,2024,KOSPI
002350,2016,KOSPI
002380,2024,KOSPI
002410,2024,KOSPI
002460,2011,KOSPI
002460,2016,KOSPI
002460,2018,KOSPI
002630,2024,KOSPI
002690,2019,KOSPI
002690,2024,KOSPI
002780,2024,KOSPI
002880,2015,KOSPI
002880,2018,KOSPI
002900,2024,KOSPI
002960,2019,KOSPI
002990,2017,KOSPI
002990,2024,KOSPI
003010,2024,KOSPI
003160,2024,KOSPI
003220,2020,KOSPI
003220,2024,KOSPI
003240,2013,KOSPI
003380,2024,KOSDAQ
003410,2014,KOSPI
003410,2019,KOSPI
003470,2007,KOSPI
003470,2013,KOSPI
003470,2024,KOSPI
003530,2011,KOSPI
003530,2024,KOSPI
003560,2018,KOSPI
003560,2023,KOSPI
003570,2013,KOSPI
003680,2011,KOSPI
003680,2017,KOSPI
003690,2011,KOSPI
003690,2018,KOSPI
003690,2023,KOSPI
003800,2024,KOSDAQ
003850,2024,KOSPI
004020,2013,KOSPI
004090,2024,KOSPI
004100,2006,KOSPI
004100,2022,KOSPI
004130,2014,KOSPI
004140,2013,KOSPI
004140,2018,KOSPI
004200,2019,KOSPI
004310,2024,KOSPI
004320,2014,KOSDAQ
004360,2009,KOSPI
004430,2015,KOSPI
004430,2024,KOSPI
004690,2021,KOSPI
004710,2012,KOSPI
004800,2010,KOSPI
004800,2024,KOSPI
004840,2024,KOSPI
004870,2019,KOSPI
004920,2020,KOSPI
005030,2024,KOSPI
005090,2022,KOSPI
005160,2024,KOSDAQ
005180,2024,KOSPI
005190,2015,KOSPI
005190,2020,KOSPI
005320,2020,KOSPI
005320,2024,KOSPI
005360,2006,KOSPI
005380,2024,KOSPI
005430,2024,KOSPI
005450,2019,KOSPI
005750,2011,KOSPI
005750,2024,KOSPI
005820,2024,KOSPI
005830,2013,KOSPI
005850,2024,KOSPI
005870,2024,KOSPI
005880,2010,KOSPI
005880,2024,KOSPI
005940,2010,KOSPI
005940,2013,KOSPI
005940,2023,KOSPI
005950,2024,KOSPI
005960,2024,KOSPI
006040,2016,KOSPI
006120,2013,KOSPI
006140,2014,KOSDAQ
006140,2024,KOSDAQ
006280,2024,KOSPI
006350,2005,KOSPI
006350,2012,KOSPI
006360,2021,KOSPI
006380,2020,KOSPI
006490,2024,KOSPI
006620,2020,KOSDAQ
006620,2024,KOSDAQ
006800,2011,KOSPI
006800,2017,KOSPI
006800,2024,KOSPI
006890,2024,KOSPI
007120,2024,KOSPI
007190,2015,KOSPI
007330,2019,KOSDAQ
007330,2020,KOSDAQ
007330,2021,KOSDAQ
007330,2022,KOSDAQ
007330,2023,KOSDAQ
007330,2024,KOSDAQ
007390,2020,KOSDAQ
007390,2024,KOSDAQ
007610,2010,KOSPI
007680,2017,KOSDAQ
007680,2019,KOSDAQ
007680,2024,KOSDAQ
007720,2023,KOSDAQ
007770,2024,KOSDAQ
007820,2024,KOSDAQ
007860,2016,KOSPI
008040,2024,KOSPI
008060,2013,KOSPI
008350,2024,KOSPI
008470,2023,KOSDAQ
008490,2014,KOSPI
008490,2022,KOSPI
008560,2022,KOSPI
008770,2006,KOSPI
009140,2011,KOSPI
009140,2014,KOSPI
009180,2012,KOSPI
009180,2017,KOSPI
009180,2024,KOSPI
009200,2024,KOSPI
009240,2022,KOSPI
009270,2019,KOSPI
009290,2022,KOSPI
009310,2022,KOSPI
009310,2024,KOSPI
009320,2022,KOSPI
009320,2024,KOSPI
009440,2009,KOSPI
009450,2024,KOSPI
009520,2024,KOSDAQ
009540,2010,KOSPI
009540,2013,KOSPI
009540,2021,KOSPI
009540,2024,KOSPI
009580,2010,KOSPI
009580,2024,KOSPI
009620,2024,KOSDAQ
009680,2019,KOSPI
010050,2013,KOSPI
010050,2015,KOSPI
010050,2016,KOSPI
010050,2017,KOSPI
010050,2018,KOSPI
010050,2019,KOSPI
010050,2020,KOSPI
010050,2021,KOSPI
010050,2022,KOSPI
010060,2024,KOSPI
010100,2020,KOSPI
010130,2024,KOSPI
010140,2024,KOSPI
010170,2015,KOSDAQ
010170,2024,KOSDAQ
010240,2024,KOSDAQ
010280,2024,KOSDAQ
010420,2011,KOSPI
010420,2016,KOSPI
010620,2016,KOSPI
010690,2011,KOSPI
010690,2017,KOSPI
010690,2024,KOSPI
010780,2017,KOSPI
010820,2011,KOSPI
010820,2014,KOSPI
010950,2018,KOSPI
010950,2022,KOSPI
011040,2024,KOSDAQ
011200,2012,KOSPI
011200,2024,KOSPI
011230,2024,KOSPI
011370,2006,KOSDAQ
011370,2012,KOSDAQ
011370,2016,KOSDAQ
011370,2024,KOSDAQ
011420,2024,KOSPI
011560,2013,KOSDAQ
011560,2020,KOSDAQ
011760,2008,KOSPI
011760,2020,KOSPI
011760,2024,KOSPI
011930,2009,KOSPI
012030,2018,KOSPI
012330,2024,KOSPI
012340,2024,KOSDAQ
012450,2011,KOSPI
012510,2014,KOSPI
012510,2024,KOSPI
012700,2011,KOSDAQ
012700,2021,KOSDAQ
012750,2024,KOSPI
013030,2024,KOSDAQ
013120,2020,KOSDAQ
013120,2024,KOSDAQ
013360,2024,KOSPI
013700,2006,KOSPI
013700,2024,KOSPI
013720,2024,KOSDAQ
013810,2024,KOSDAQ
013870,2024,KOSPI
014190,2024,KOSDAQ
014200,2020,KOSDAQ
014200,2024,KOSDAQ
014280,2015,KOSPI
014530,2024,KOSPI
014580,2024,KOSPI
014680,2013,KOSPI
014790,2023,KOSPI
014820,2005,KOSPI
014830,2013,KOSPI
014830,2024,KOSPI
