source_file,source_category,market,sheet_name,column_name,inferred_role,non_missing_count,non_missing_rate,sample_values,mapped_variable_candidate,notes
코스피_전업종_폐지사 포함_일반사항.xlsx,general_info,KOSPI,Sheet1,회사명,firm_name,983,1.0,(주)BNK금융지주 | (주)JB금융지주 | (주)KB금융지주,,
코스피_전업종_폐지사 포함_일반사항.xlsx,general_info,KOSPI,Sheet1,거래소코드,firm_id,983,1.0,138930  | 175330  | 105560 ,firm_key,
코스피_전업종_폐지사 포함_일반사항.xlsx,general_info,KOSPI,Sheet1,회계년도,extraction_period,983,1.0,2025/12 | 2025/12 | 2025/12,panel_key,
코스피_전업종_폐지사 포함_일반사항.xlsx,general_info,KOSPI,Sheet1,산업코드,industry_code,983,1.0,116502 | 116502 | 116502,,
코스피_전업종_폐지사 포함_일반사항.xlsx,general_info,KOSPI,Sheet1,산업명,industry_name,983,1.0,    금융지주업  |     금융지주업  |     금융지주업 ,sector_7 (텍스트 매핑 기반),
코스피_전업종_폐지사 포함_일반사항.xlsx,general_info,KOSPI,Sheet1,업종코드,sector_code,983,1.0,2 | 2 | 2,,
코스피_전업종_폐지사 포함_일반사항.xlsx,general_info,KOSPI,Sheet1,영문기업명,,983,1.0,"BNK Financial Group Inc. | JB Financial Group Co., Ltd. | KB Financial Group Inc.",,
코스피_전업종_폐지사 포함_일반사항.xlsx,general_info,KOSPI,Sheet1,본사 주소,,983,1.0,"부산시 남구 문현금융로 30 (문현동) | 전북 전주시 덕진구 백제대로 566(금암동 669-2) | 서울시 영등포구 국제금융로8길 26 (여의도동, 국민은",,
코스피_전업종_폐지사 포함_일반사항.xlsx,general_info,KOSPI,Sheet1,종업원,employee_count,983,1.0,120 | 108 | 140,log_emp,
코스피_전업종_폐지사 포함_일반사항.xlsx,general_info,KOSPI,Sheet1,주거래은행,,758,0.7711,BNK경남은행 | KEB하나은행 | KDB산업은행,,
코스피_전업종_폐지사 포함_일반사항.xlsx,general_info,KOSPI,Sheet1,설립일,incorporation_date,983,1.0,2011/03/15 | 2013/07/01 | 2008/09/29,firm_age,
코스피_전업종_폐지사 포함_일반사항.xlsx,general_info,KOSPI,Sheet1,상장일,listing_date,983,1.0,2011/03/30 | 2013/07/18 | 2008/10/10,list_age,
코스피_전업종_폐지사 포함_일반사항.xlsx,general_info,KOSPI,Sheet1,상장폐지일,delisting_date,21,0.0214,2025/09/30 | 2025/09/30 | 2025/09/30,,
코스피_전업종_폐지사 포함_일반사항.xlsx,general_info,KOSPI,Sheet1,결산월,fiscal_month,983,1.0,12 | 12 | 12,,
코스피_전업종_폐지사 포함_일반사항.xlsx,general_info,KOSPI,Sheet1,사업자등록번호,,983,1.0,605-86-05385  | 418-81-44697  | 201-86-08254 ,,
코스피_전업종_폐지사 포함_일반사항.xlsx,general_info,KOSPI,Sheet1,법인등록번호,,982,0.999,1801110750893.0 | 2101110091498.0 | 1101113975517.0,,
코스피_전업종_폐지사 포함_일반사항.xlsx,general_info,KOSPI,Sheet1,목적사업,,182,0.1851,4. 광산개발 및 판매사업 | 5. 건축자재의 생산 매매업 | 6. 화장품 및 잡화류 제조 및 판매,,
코스피_전업종_폐지사 포함_일반사항.xlsx,general_info,KOSPI,Sheet1,통계청 한국표준산업분류 코드 11차(세세분류),,983,1.0,64992 | 64992 | 64992,,
코스닥_전업종_폐지사 포함_일반사항.xlsx,general_info,KOSDAQ,Sheet1,회사명,firm_name,2420,1.0,(주)CMG제약 | (주)ES큐브 | (주)가비아,,
코스닥_전업종_폐지사 포함_일반사항.xlsx,general_info,KOSDAQ,Sheet1,거래소코드,firm_id,2420,1.0,058820  | 050120  | 079940 ,firm_key,
코스닥_전업종_폐지사 포함_일반사항.xlsx,general_info,KOSDAQ,Sheet1,회계년도,extraction_period,2420,1.0,2025/12 | 2025/12 | 2025/12,panel_key,
코스닥_전업종_폐지사 포함_일반사항.xlsx,general_info,KOSDAQ,Sheet1,산업코드,industry_code,2420,1.0,32102 | 74604 | 105802,,
코스닥_전업종_폐지사 포함_일반사항.xlsx,general_info,KOSDAQ,Sheet1,산업명,industry_name,2420,1.0,    의약품 제조업  |     생활용품 도매업  |     소프트웨어 개발 및 공급업 ,sector_7 (텍스트 매핑 기반),
코스닥_전업종_폐지사 포함_일반사항.xlsx,general_info,KOSDAQ,Sheet1,업종코드,sector_code,2420,1.0,1 | 1 | 1,,
코스닥_전업종_폐지사 포함_일반사항.xlsx,general_info,KOSDAQ,Sheet1,영문기업명,,2420,1.0,"CMG Pharmaceutical Co., Ltd. | ES CUBE Co.,Ltd. | Gabia Inc.",,
코스닥_전업종_폐지사 포함_일반사항.xlsx,general_info,KOSDAQ,Sheet1,본사 주소,,2420,1.0,"서울시 강남구 학동로 170 베터라이프빌딩 3층(논현동 | 서울시 강남구 강남대로 556, 12층(논현동, 논현빌 | 경기도 과천시 과천대로7나길 34 4~6층 (갈현동, ",,
코스닥_전업종_폐지사 포함_일반사항.xlsx,general_info,KOSDAQ,Sheet1,종업원,employee_count,2420,1.0,211 | 28 | 403,log_emp,
