,R006,R064,R085,R133,R157,R182,industry_avg_rating_lag1_self_excl,cap_change_count_3y,log_assets,operating_loss_freq_3y,ratio_missing_rate
R006,1.0,0.5544311054990688,-0.39310464814760915,0.4009703122603486,0.21397543532454766,0.26175170967153233,-0.07043226407001031,-0.03207830828193105,0.1372282523221245,-0.5391234355566554,-0.16917121512261812
R064,0.5544311054990688,1.0,-0.4833415454150001,0.2863750398058456,0.4042353844166451,0.14793255029907765,-0.010218252645868954,-0.23361338443564317,0.10982890261464515,-0.40797698499756985,-0.3550683444779001
R085,-0.39310464814760915,-0.4833415454150001,1.0,-0.24573432025922676,-0.3120985432694455,-0.1395554514348354,0.04217726863812974,0.21331879866256753,0.010380872966687472,0.34833788622043244,0.128074749616735
R133,0.4009703122603486,0.2863750398058456,-0.24573432025922676,1.0,0.07269919836996175,-0.058849625679913274,-0.03427326058856009,-0.0688792374524706,0.06025277326238513,-0.289395159636161,-0.0956992833910593
R157,0.21397543532454766,0.4042353844166451,-0.3120985432694455,0.07269919836996175,1.0,0.15494592917377853,0.06416746108788272,-0.19108454139565956,0.3383849462572972,-0.4153047345263665,-0.40489543566271136
R182,0.26175170967153233,0.14793255029907765,-0.1395554514348354,-0.058849625679913274,0.15494592917377853,1.0,-0.039267383225967116,0.08706523282331154,0.007476478467353612,-0.22715114107437723,-0.13835973201089172
industry_avg_rating_lag1_self_excl,-0.07043226407001031,-0.010218252645868954,0.04217726863812974,-0.03427326058856009,0.06416746108788272,-0.039267383225967116,1.0,-0.02146807524047186,-0.14691234515806606,0.04209020089647331,-0.12389158836956268
cap_change_count_3y,-0.03207830828193105,-0.23361338443564317,0.21331879866256753,-0.0688792374524706,-0.19108454139565956,0.08706523282331154,-0.02146807524047186,1.0,-0.11831763979654665,0.06671168064343794,0.014234669185509866
log_assets,0.1372282523221245,0.10982890261464515,0.010380872966687472,0.06025277326238513,0.3383849462572972,0.007476478467353612,-0.14691234515806606,-0.11831763979654665,1.0,-0.25583630603975177,-0.16264316906369328
operating_loss_freq_3y,-0.5391234355566554,-0.40797698499756985,0.34833788622043244,-0.289395159636161,-0.4153047345263665,-0.22715114107437723,0.04209020089647331,0.06671168064343794,-0.25583630603975177,1.0,0.4095533443693794
ratio_missing_rate,-0.16917121512261812,-0.3550683444779001,0.128074749616735,-0.0956992833910593,-0.40489543566271136,-0.13835973201089172,-0.12389158836956268,0.014234669185509866,-0.16264316906369328,0.4095533443693794,1.0
