variable_id,category,missing_rate_dev,missing_rate_oot,spearman_rho_dev,spearman_rho_oot,direction_dev,direction_oot,direction_stable
R006,수익성,0.1624742268041237,0.05693199789140749,-0.356113874145623,-0.41161506396406855,value_up_good,value_up_good,True
R064,안정성,0.1620618556701031,0.05640484976278334,-0.49261389492450613,-0.6168159790602785,value_up_good,value_up_good,True
R085,부채상환능력,0.1909278350515464,0.05693199789140749,0.40122068453168275,0.4224044113046705,value_down_good,value_down_good,True
R133,유동성,0.1620618556701031,0.05640484976278334,-0.2371484930494599,-0.2697023858374547,value_up_good,value_up_good,True
R157,활동성,0.19134020618556702,0.06167633104902478,-0.392371233846569,-0.4472854163043972,value_up_good,value_up_good,True
R182,성장성,0.19134020618556702,0.06167633104902478,-0.11700867527425418,-0.0697009748395737,value_up_good,value_up_good,True
industry_avg_rating_lag1_self_excl,산업위험,0.009072164948453608,0.0,0.23605407641391035,0.21923154023135089,value_down_good,value_down_good,True
cap_change_count_3y,경영위험,0.0,0.0,0.24716545429294223,0.414734011669443,value_down_good,value_down_good,True
log_assets,영업위험,0.1620618556701031,0.05640484976278334,-0.47180168277853535,-0.4992790746421986,value_up_good,value_up_good,True
operating_loss_freq_3y,재무위험,0.14762886597938144,0.05640484976278334,0.38219960065199404,0.4792718571373737,value_down_good,value_down_good,True
ratio_missing_rate,신뢰도,0.0,0.0,0.017420949064222688,0.28007669540752306,value_down_good,value_down_good,True
