variable_id,variable_name,source,category,is_binary,p01_dev,p99_dev,n_dev_nonmissing,winsor_applied
R220,R220,financial,CF_품질,False,-23.06179019227095,24.43710287030016,2032,True
R221,R221,financial,CF_품질,False,-0.581881354008819,0.48874691121586616,2031,True
R225,R225,financial,CF_품질,False,-46.09784385944621,2630.261149900824,1962,True
R210,R210,financial,기타/복합,False,-0.46920339095525254,0.6960737650207607,2032,True
R211,R211,financial,기타/복합,False,-1.2255604525021144,0.8987615086799674,2032,True
R212,R212,financial,기타/복합,False,-0.22298827300467672,0.202488388538249,2032,True
R213,R213,financial,기타/복합,False,0.03766301775491065,3.1284507846564282,2032,True
R214,R214,financial,기타/복합,False,-0.21558373366389164,0.2685255824630773,2032,True
R215,R215,financial,기타/복합,False,-0.2802609948844824,0.24775094623670962,2032,True
R218,R218,financial,기타/복합,False,-14.000288098058935,7.494585783623677,2032,True
R219,R219,financial,기타/복합,False,-9.36971356109812,10.436205168796448,2031,True
R216,R216,financial,기타/복합,False,-0.581881354008819,0.48874691121586616,2031,True
R217,R217,financial,기타/복합,False,-0.8429075904284172,0.44524965903226305,2031,True
R091,R091,financial,부채상환능력,False,-0.6045536332896391,1.8324294342306264,2032,True
R102,R102,financial,부채상환능력,False,-56.78135280667359,86.28487879045421,2031,True
R085,R085,financial,부채상환능력,False,0.0,0.6319240783901541,2031,True
R079,R079,financial,부채상환능력,False,-24.05602927936592,2627.8402159529273,1962,True
R081,R081,financial,부채상환능력,False,-22.716257086162877,2815.647689747651,1962,True
R087,R087,financial,부채상환능력,False,-6.385042538163324,13.589289749283308,2032,True
R090,R090,financial,부채상환능력,False,-12.047013557947876,6.756499682520123,2032,True
R094,R094,financial,부채상환능력,False,-0.9138051933400915,2.5955391101501917,2032,True
R104,R104,financial,부채상환능력,False,-108.40531673353694,68.32113582794778,2032,True
R105,R105,financial,부채상환능력,False,-109.78270995082788,78.83818555143729,2032,True
R106,R106,financial,부채상환능력,False,-210.92936727213396,140.130239526721,2032,True
R107,R107,financial,부채상환능력,False,-59.84180132911747,40.244328208268506,2032,True
R109,R109,financial,부채상환능력,False,0.0,643.6433083784175,2032,True
R088,R088,financial,부채상환능력,False,-7.647932043442441,10.596939742044178,2031,True
R089,R089,financial,부채상환능력,False,-7.647932043442441,10.596939742044178,2031,True
R101,R101,financial,부채상환능력,False,-58.094734890287,86.90293617597787,2031,True
R103,R103,financial,부채상환능력,False,-105.67515307131261,164.41989553000204,2031,True
R108,R108,financial,부채상환능력,False,-43.622165886398385,58.86173322516139,2031,True
R114,R114,financial,부채상환능력,False,-56.78135280667359,86.28487879045421,2031,True
R086,R086,financial,부채상환능력,False,0.0,0.6319240783901541,2031,True
R112,R112,financial,부채상환능력,False,-206.53741045286532,384.15333067263225,2018,True
R080,R080,financial,부채상환능력,False,-24.05602927936592,2627.8402159529273,1962,True
R082,R082,financial,부채상환능력,False,-32.98797338772691,3311.269441666247,1962,True
R083,R083,financial,부채상환능력,False,-46.09784385944621,2630.261149900824,1962,True
R169,R169,financial,성장성,False,-0.7378831701363144,2.0554387480428833,2114,True
R180,R180,financial,성장성,False,-0.44273770221721725,1.215536460722027,1961,True
R184,R184,financial,성장성,False,-0.7855768633216631,1.8495714251760038,1954,True
R174,R174,financial,성장성,False,-9.092992176212233,7.74166876236408,1640,True
R204,R204,financial,성장성,False,6.129600528877604e-05,0.5258519587806763,2031,True
R181,R181,financial,성장성,False,-0.7197550762502123,1.855804158760007,1961,True
R182,R182,financial,성장성,False,-0.5142719788021786,2.0630305694752797,1961,True
R205,R205,financial,성장성,False,0.019579047500129752,449.9101889519968,1986,True
R188,R188,financial,성장성,False,-0.9881162429953564,28.966607486025772,1950,True
R170,R170,financial,성장성,False,-1.6560275373565652,6.179384171623733,1903,True
R185,R185,financial,성장성,False,-7.122652865504297,3.606474458119126,1667,True
R002,R002,financial,수익성,False,-0.7130172743357137,0.4453882715785782,2031,True
R005,R005,financial,수익성,False,-0.7043556814002143,0.49668619885548504,2031,True
R010,R010,financial,수익성,False,-0.581881354008819,0.48874691121586616,2031,True
R017,R017,financial,수익성,False,-0.46082463651032335,0.22575358542239182,1961,True
R008,R008,financial,수익성,False,-7.824647914332014,1.3759552285635823,2228,True
R031,R031,financial,수익성,False,-23.06179019227095,24.43710287030016,2032,True
R032,R032,financial,수익성,False,-22.89983999637991,26.705269628763734,2032,True
R033,R033,financial,수익성,False,-18.406629558241153,14.618388382813716,2031,True
R001,R001,financial,수익성,False,-0.1638758977736414,1.0,2031,True
R003,R003,financial,수익성,False,-0.7130172743357137,0.4453882715785782,2031,True
R004,R004,financial,수익성,False,-0.7130172743357137,0.4453882715785782,2031,True
R006,R006,financial,수익성,False,-1.7235907030026039,0.7223696822885991,2031,True
R007,R007,financial,수익성,False,-1.7032978710553852,0.7708936833696813,2031,True
R009,R009,financial,수익성,False,-1.6950713536853812,0.8734256637950826,2031,True
R012,R012,financial,수익성,False,-0.06963012207056468,0.9217206763747056,1961,True
R013,R013,financial,수익성,False,-0.18858353710014508,0.22719824404409092,1961,True
R014,R014,financial,수익성,False,-0.18858353710014508,0.22719824404409092,1961,True
R015,R015,financial,수익성,False,-0.18297794697060102,0.2344570976538576,1961,True
R016,R016,financial,수익성,False,-0.4513147075858451,0.23850979260028216,1961,True
R018,R018,financial,수익성,False,-0.4603295674479478,0.24321761900982514,1961,True
R019,R019,financial,수익성,False,-0.20937587957324488,0.29060874226550293,1961,True
R021,R021,financial,수익성,False,-0.5708999384618902,0.5546691033825062,1961,True
R022,R022,financial,수익성,False,-1.371771060792816,0.5753618480810168,1961,True
R023,R023,financial,수익성,False,-1.3873021058772863,0.5999930010925625,1961,True
R043,R043,financial,안정성,False,0.0072904463410490734,7.237303189921775,2032,True
R045,R045,financial,안정성,False,0.036675096063793156,0.959389500641129,2032,True
R046,R046,financial,안정성,False,0.0,0.643809558521437,2032,True
R063,R063,financial,안정성,False,-5.199057608412893,90.70218088129144,2032,True
R076,R076,financial,안정성,False,-0.46920339095525254,0.6960737650207607,2032,True
R044,R044,financial,안정성,False,0.040610499358870955,0.9633249039362071,2032,True
R047,R047,financial,안정성,False,-0.36549635968859523,0.6096696499290586,2032,True
R048,R048,financial,안정성,False,0.0,0.5860667199496187,2032,True
R049,R049,financial,안정성,False,0.0,0.8561985973467843,2032,True
R050,R050,financial,안정성,False,0.0,4.0206683176785205,2032,True
R051,R051,financial,안정성,False,-0.8266124275852793,3.8388076418945376,2032,True
R052,R052,financial,안정성,False,0.0,3.386602753765005,2032,True
R053,R053,financial,안정성,False,0.004441713866639534,5.172693785507042,2032,True
R054,R054,financial,안정성,False,0.0,2.3996361670719053,2032,True
R055,R055,financial,안정성,False,0.22874610903756998,0.9990891972304355,2032,True
R056,R056,financial,안정성,False,0.0009108027695645205,0.7688852520124487,2032,True
R059,R059,financial,안정성,False,0.0,0.4988822725275827,2032,True
R060,R060,financial,안정성,False,0.0,0.42395844639836827,2032,True
R064,R064,financial,안정성,False,-1.2255604525021144,0.8987615086799674,2032,True
R065,R065,financial,안정성,False,-3.3975801596603086,1.7728102895705669,2032,True
R067,R067,financial,안정성,False,0.00727004428780685,0.6703877002889318,2032,True
R071,R071,financial,안정성,False,0.04675571466028428,4.795058713014278,2032,True
R077,R077,financial,안정성,False,-1.6693852699695104,2.731224036970362,2031,True
R115,R115,financial,유동성,False,0.22767122253664496,16.242472920045255,2032,True
R116,R116,financial,유동성,False,0.19103768249265143,14.646939619931745,2032,True
R117,R117,financial,유동성,False,0.0006995341666454719,5.011798592891654,2032,True
R118,R118,financial,유동성,False,-0.46920339095525254,0.6960737650207607,2032,True
R131,R131,financial,유동성,False,-0.9138051933400915,2.5955391101501917,2032,True
R140,R140,financial,유동성,False,-0.4169310313043757,1.0734475057507131,2228,True
R120,R120,financial,유동성,False,0.07014264139937469,0.9032493603964389,2032,True
R121,R121,financial,유동성,False,0.022915175151267488,0.8147731136527325,2032,True
R124,R124,financial,유동성,False,0.0002845008989658455,0.40425897240847924,2032,True
R126,R126,financial,유동성,False,0.0005439269239281572,3.1999858022583587,2032,True
R127,R127,financial,유동성,False,0.0006995341666454719,5.011798592891654,2032,True
R133,R133,financial,유동성,False,-1.8459171767369922,2.2230459803713796,2032,True
R134,R134,financial,유동성,False,0.0,0.6312551845801011,2032,True
R135,R135,financial,유동성,False,0.02773120205569116,0.9233388847415817,2032,True
R136,R136,financial,유동성,False,0.03514876529632542,0.9903874426721843,2032,True
R141,R141,financial,유동성,False,-0.2371659026574916,0.5471363157402623,2032,True
R119,R119,financial,유동성,False,-1.6693852699695104,2.731224036970362,2031,True
R122,R122,financial,유동성,False,0.0793046889226338,4.157969984150095,2031,True
R123,R123,financial,유동성,False,0.12194862645743135,4.4840204469641725,2031,True
R125,R125,financial,유동성,False,0.00025017506383507947,1.4753227738748436,2031,True
R137,R137,financial,유동성,False,0.0,0.6233328134759653,2031,True
