category,variable_name,missing_rate,unique_count,median,selected_eligible,diagnostic_only,leakage_safe,expected_direction,exclusion_reason,caveat
경영위험,cap_change_count_3y,0.0,78,1.0,True,False,True,higher_is_worse,,
경영위험,cap_change_cumulative,0.0,183,19.0,True,False,True,higher_is_worse,,
경영위험,ma_count_3y,0.0,1,0.0,True,False,True,higher_is_worse_or_uncertain,,weak_signal
경영위험,ma_cumulative,0.0,1,0.0,True,False,True,higher_is_worse_or_uncertain,,weak_signal
경영위험,firm_age,0.0837,112,26.0,True,False,True,higher_is_better,,
경영위험,list_age,0.1003,64,13.0,True,False,True,higher_is_better,,
산업위험,industry_avg_rating_lag1_self_excl,0.0045,494,3.7727,True,False,True,higher_is_worse,,
산업위험,industry_median_rating_lag1_self_excl,0.0045,8,4.0,True,False,True,higher_is_worse,,
산업위험,industry_bad_grade_share_lag1_self_excl,0.0045,222,0.2464,True,False,True,higher_is_worse,,
산업위험,industry_b_or_lower_share_lag1_self_excl,0.0045,169,0.0656,True,False,True,higher_is_worse,,
산업위험,industry_rating_std_lag1_self_excl,0.0045,890,1.053,True,False,True,higher_is_worse_or_uncertain,,
산업위험,industry_rating_iqr_lag1_self_excl,0.0045,16,1.0,True,False,True,higher_is_worse_or_uncertain,,
산업위험,industry_downgrade_rate_lag1_self_excl,0.0102,112,0.0588,True,False,True,higher_is_worse,,
산업위험,industry_upgrade_rate_lag1_self_excl,0.0102,112,0.08,True,False,True,higher_is_better,,
산업위험,industry_net_downgrade_rate_lag1_self_excl,0.0102,191,0.0,True,False,True,higher_is_worse,,
산업위험,kospi_dummy,0.0,2,0.0,False,True,True,diagnostic_market_tier,"diagnostic_only: market-tier variable, not industry risk",
산업위험,sector_7,0.0,9,,False,True,True,diagnostic_nominal_code,"diagnostic_only: nominal sector code, not ordered risk score",
산업위험,sector_year_rating_count,0.0,58,44.0,False,True,True,diagnostic_coverage,"diagnostic_only: coverage/count variable, not risk proxy",
산업위험,sector_year_rating_count_lag1,0.0,58,44.0,False,True,True,diagnostic_coverage,"diagnostic_only: coverage/count variable, not risk proxy",
산업위험,industry_avg_rating,0.0045,494,3.7727,False,True,True,higher_is_worse,diagnostic_only: v2 alias; use industry_avg_rating_lag1_self_excl,
신뢰도,financial_data_completeness,0.0,20,1.0,True,False,True,higher_is_better,,
신뢰도,statement_coverage_count,0.0,1,0.0,True,False,True,higher_is_better,,weak_signal
신뢰도,ratio_available_count,0.0,20,139.0,True,False,True,higher_is_better,,
신뢰도,ratio_missing_rate,0.0,20,0.0,True,False,True,higher_is_worse,,
영업위험,log_emp,0.0818,536,5.5872,True,False,True,higher_is_better,,
영업위험,log_assets,0.1064,4400,19.0187,True,False,True,higher_is_better,,
영업위험,log_sales,0.1068,4398,18.7298,True,False,True,higher_is_better,,
재무위험,lawsuit_count_3y,0.0,1,0.0,True,False,True,higher_is_worse,,weak_signal
재무위험,operating_loss_freq_3y,0.0993,4,0.0,True,False,True,higher_is_worse,,
재무위험,operating_loss_current,0.1064,2,0.0,True,False,True,higher_is_worse,,
재무위험,net_loss_current,0.1064,2,0.0,True,False,True,higher_is_worse,,
재무위험,negative_equity_flag,0.1064,2,0.0,True,False,True,higher_is_worse,,
재무위험,cap_impair_flag,0.1064,2,0.0,True,False,True,higher_is_worse,,
