variable_name,category,non_missing_count,non_missing_rate,missing_rate,unique_count,mean,std,p1,median,p99,min,max,quality_pass,selected_eligible,diagnostic_only,leakage_safe,expected_direction,exclusion_reason,candidate_but_missingness_caveat,weak_signal_caveat,notes
industry_avg_rating_lag1_self_excl,산업위험,4902,0.9955,0.0045,494,3.7667,0.4161,2.8462,3.7727,4.5294,2.4,5.9375,True,True,False,True,higher_is_worse,,False,False,"v3.2 신규: t-1 lagged, self-excluded, 4-level fallback"
industry_median_rating_lag1_self_excl,산업위험,4902,0.9955,0.0045,8,3.6438,0.5257,3.0,4.0,5.0,2.0,5.5,True,True,False,True,higher_is_worse,,False,False,"v3.2 신규: t-1 lagged, self-excluded, 4-level fallback"
industry_bad_grade_share_lag1_self_excl,산업위험,4902,0.9955,0.0045,222,0.2454,0.1231,0.0,0.2464,0.55,0.0,0.6364,True,True,False,True,higher_is_worse,,False,False,"v3.2 신규: t-1 lagged, self-excluded, 4-level fallback"
industry_b_or_lower_share_lag1_self_excl,산업위험,4902,0.9955,0.0045,169,0.0734,0.0581,0.0,0.0656,0.2941,0.0,0.5,True,True,False,True,higher_is_worse,,False,False,"v3.2 신규: t-1 lagged, self-excluded, 4-level fallback"
industry_rating_std_lag1_self_excl,산업위험,4902,0.9955,0.0045,890,1.0962,0.2374,0.6667,1.053,1.9573,0.4385,2.8723,True,True,False,True,higher_is_worse_or_uncertain,,False,False,"v3.2 신규: t-1 lagged, self-excluded, 4-level fallback"
industry_rating_iqr_lag1_self_excl,산업위험,4902,0.9955,0.0045,16,1.3822,0.6175,0.0,1.0,3.0,0.0,6.0,True,True,False,True,higher_is_worse_or_uncertain,,False,False,"v3.2 신규: t-1 lagged, self-excluded, 4-level fallback"
industry_downgrade_rate_lag1_self_excl,산업위험,4874,0.9898,0.0102,112,0.0734,0.0734,0.0,0.0588,0.375,0.0,0.5,True,True,False,True,higher_is_worse,,False,False,"v3.2 신규: t-1 lagged, self-excluded, 4-level fallback"
industry_upgrade_rate_lag1_self_excl,산업위험,4874,0.9898,0.0102,112,0.0873,0.0601,0.0,0.08,0.25,0.0,0.5,True,True,False,True,higher_is_better,,False,False,"v3.2 신규: t-1 lagged, self-excluded, 4-level fallback"
industry_net_downgrade_rate_lag1_self_excl,산업위험,4874,0.9898,0.0102,191,-0.014,0.0925,-0.2143,0.0,0.2727,-0.5,0.4167,True,True,False,True,higher_is_worse,,False,False,"v3.2 신규: t-1 lagged, self-excluded, 4-level fallback"
industry_avg_rating,산업위험,4902,0.9955,0.0045,494,3.7667,0.4161,2.8462,3.7727,4.5294,2.4,5.9375,True,False,True,True,higher_is_worse,diagnostic_only: v2 alias; use industry_avg_rating_lag1_self_excl,False,False,v2 alias (=industry_avg_rating_lag1_self_excl); diagnostic_only; Stage 3 must exclude
