category,ratio_id,ratio_name,priority,missing_rate,median,p1_p99_range,outlier_flag,duplicate_alias_of,duplicate_alias_type,duplicate_alias_reason,stage3_exclude,selected_eligible,rank_in_category
CF_품질,R220,OCF/순이익 비율,확장,0.1064,0.8548,"-24.609, 23.0474",False,,,,False,True,1
CF_품질,R221,OCF마진,확장,0.1068,0.054,"-1.0409, 0.5776",False,,,,False,True,2
CF_품질,R225,OCF이자보상배율,확장,0.1235,2.548,"-77.2181, 1303.098",True,,,,False,True,3
기타/복합,R210,Altman 운전자본/총자산,확장,0.1064,0.1715,"-0.4446, 0.7567",False,R076,exact_value_alias,Altman 운전자본/총자산 is identical to 순운전자본/총자산.,True,False,1
기타/복합,R211,Altman 이익잉여금/총자산,확장,0.1064,0.2772,"-1.8083, 0.9708",False,R064,exact_value_alias,Altman 이익잉여금/총자산 is identical to 이익잉여금/총자산.,True,False,2
기타/복합,R212,Altman EBIT/총자산,확장,0.1064,0.0314,"-0.2469, 0.2112",False,,,,False,True,3
기타/복합,R213,Altman 매출액/총자산,확장,0.1064,0.7427,"0.0376, 2.9246",False,,,,False,True,4
기타/복합,R214,OCF/총자산,확장,0.1064,0.0421,"-0.2402, 0.2643",False,,,,False,True,5
기타/복합,R215,FCF/총자산,확장,0.1064,0.0123,"-0.3014, 0.2369",False,,,,False,True,6
기타/복합,R218,CAPEX/OCF,확장,0.1064,0.1238,"-15.693, 11.0386",False,,,,False,True,7
기타/복합,R219,CAPEX/EBITDA,확장,0.1066,0.2073,"-10.3145, 10.4151",False,,,,False,True,8
기타/복합,R216,OCF/매출액,확장,0.1068,0.054,"-1.0409, 0.5776",False,R010,exact_value_alias,OCF/매출액 is identical to 영업현금흐름마진.,True,False,9
기타/복합,R217,FCF/매출액,확장,0.1068,0.0155,"-1.4376, 0.5184",False,,,,False,True,10
부채상환능력,R091,OCF/총부채,핵심,0.1064,0.1107,"-0.9079, 2.0031",False,,,,False,True,1
부채상환능력,R102,순차입금/EBITDA,핵심,0.1066,0.0485,"-57.6245, 78.0558",True,,,,False,True,2
부채상환능력,R085,금융비용부담률,핵심,0.1068,0.0174,"0.0, 0.9855",False,,,,False,True,3
부채상환능력,R079,이자보상배율,핵심,0.1235,2.0089,"-39.642, 1319.0232",True,,,,False,True,4
부채상환능력,R081,EBITDA 이자보상배율,핵심,0.1235,2.5374,"-37.9796, 1370.2557",True,,,,False,True,5
부채상환능력,R087,이자비용/영업이익,확장,0.1064,0.1253,"-7.1794, 13.6611",True,,,,False,True,6
부채상환능력,R090,금융비용/영업현금흐름,확장,0.1064,0.0725,"-13.5223, 11.27",True,,,,False,True,7
부채상환능력,R094,OCF/유동부채,확장,0.1064,0.1504,"-1.2435, 3.0188",False,,,,False,True,8
부채상환능력,R104,순차입금/OCF,확장,0.1064,-0.1514,"-107.4925, 73.1985",True,,,,False,True,9
부채상환능력,R105,총차입금/OCF,확장,0.1064,0.2722,"-109.5813, 85.325",True,,,,False,True,10
부채상환능력,R106,총부채/OCF,확장,0.1064,2.9521,"-186.5936, 171.4514",False,,,,False,True,11
