ratio_id,ratio_name,category,priority,n_total,n_valid,n_missing,missing_rate,n_zero_denom,zero_denom_rate,n_neg_denom,n_inf,inf_rate,p1,median,p99,min,max,std,same_value_rate,outlier_flag,nan_breakdown,quality_pass,fail_reasons,duplicate_alias_of,duplicate_alias_type,duplicate_alias_reason,stage3_exclude,selected_eligible
R001,매출총이익률,수익성,확장,4924,4398,526,0.1068,2,0.0004,49,0,0.0,-0.1651,0.1711,1.0,-1.4153,1.0,0.2439,0.0477,False,zero_denom=2|neg_denom=49|data_missing=475,True,,,,,False,True
R002,영업이익률,수익성,핵심,4924,4398,526,0.1068,2,0.0004,49,0,0.0,-1.1582,0.0405,0.5111,-30.3073,1.0803,0.8327,0.0002,False,zero_denom=2|neg_denom=49|data_missing=475,True,,,,,False,True
R003,정상영업이익률,수익성,확장,4924,4398,526,0.1068,2,0.0004,49,0,0.0,-1.1582,0.0405,0.5111,-30.3073,1.0803,0.8327,0.0002,False,zero_denom=2|neg_denom=49|data_missing=475,True,,R002,exact_value_alias,정상영업이익률 maps to the same executable formula as 영업이익률 in the current source mapping.,True,False
R004,EBIT마진,수익성,확장,4924,4398,526,0.1068,2,0.0004,49,0,0.0,-1.1582,0.0405,0.5111,-30.3073,1.0803,0.8327,0.0002,False,zero_denom=2|neg_denom=49|data_missing=475,True,,R002,exact_value_alias,EBIT마진 maps to the same executable formula as 영업이익률 in the current source mapping.,True,False
R005,EBITDA마진,수익성,핵심,4924,4398,526,0.1068,2,0.0004,49,0,0.0,-1.1094,0.0486,0.5396,-28.8613,1.1869,0.7797,0.0002,False,zero_denom=2|neg_denom=49|data_missing=475,True,,,,,False,True
R006,세전이익률,수익성,확장,4924,4398,526,0.1068,2,0.0004,49,0,0.0,-2.6883,0.0381,0.8097,-45.5417,7.4915,1.3115,0.0002,False,zero_denom=2|neg_denom=49|data_missing=475,True,,,,,False,True
R007,순이익률,수익성,확장,4924,4398,526,0.1068,2,0.0004,49,0,0.0,-2.9392,0.0319,0.815,-126.299,625.486,10.1036,0.0002,False,zero_denom=2|neg_denom=49|data_missing=475,True,,,,,False,True
R008,계속사업이익률,수익성,확장,4924,4683,241,0.0489,2,0.0004,49,0,0.0,-4.968,0.034,1.4672,-213.6432,103.6335,5.0651,0.0017,False,zero_denom=2|neg_denom=49|data_missing=190,True,,,,,False,True
R009,총포괄이익률,수익성,확장,4924,4398,526,0.1068,2,0.0004,49,0,0.0,-2.8037,0.0313,0.9338,-127.8517,625.7563,10.0357,0.003,False,zero_denom=2|neg_denom=49|data_missing=475,True,,,,,False,True
R010,영업현금흐름마진,수익성,핵심,4924,4398,526,0.1068,2,0.0004,49,0,0.0,-1.0409,0.054,0.5776,-122.619,63.5818,2.2051,0.0002,False,zero_denom=2|neg_denom=49|data_missing=475,True,,,,,False,True
R012,매출총이익/총자산,수익성,확장,4924,4316,608,0.1235,0,0.0,0,0,0.0,-0.0649,0.126,0.9061,-0.4258,1.7947,0.1697,0.0002,False,data_missing=608,True,,,,,False,True
R013,영업이익/총자산,수익성,확장,4924,4316,608,0.1235,0,0.0,0,0,0.0,-0.2287,0.0318,0.2304,-0.7391,0.7786,0.0847,0.0002,False,data_missing=608,True,,,,,False,True
R014,EBIT/총자산,수익성,확장,4924,4316,608,0.1235,0,0.0,0,0,0.0,-0.2287,0.0318,0.2304,-0.7391,0.7786,0.0847,0.0002,False,data_missing=608,True,,R013,exact_value_alias,EBIT/총자산 maps to the same executable formula as 영업이익/총자산.,True,False
R015,EBITDA/총자산,수익성,확장,4924,4316,608,0.1235,0,0.0,0,0,0.0,-0.2176,0.0368,0.2453,-0.7167,0.7821,0.0847,0.0002,False,data_missing=608,True,,,,,False,True
R016,세전이익/총자산,수익성,확장,4924,4316,608,0.1235,0,0.0,0,0,0.0,-0.4806,0.0312,0.2751,-2.7177,0.9052,0.1391,0.0002,False,data_missing=608,True,,,,,False,True
R017,당기순이익/총자산(ROA),수익성,핵심,4924,4316,608,0.1235,0,0.0,0,0,0.0,-0.4965,0.0268,0.246,-2.8226,2.9144,0.1413,0.0002,False,data_missing=608,True,,,,,False,True
R018,총포괄이익/총자산,수익성,확장,4924,4316,608,0.1235,0,0.0,0,0,0.0,-0.4978,0.0267,0.2566,-2.7765,2.9157,0.143,0.0023,False,data_missing=608,True,,,,,False,True
R019,영업현금흐름/총자산,수익성,확장,4924,4316,608,0.1235,0,0.0,0,0,0.0,-0.2238,0.043,0.2899,-0.5296,0.8435,0.0953,0.0002,False,data_missing=608,True,,,,,False,True
R021,영업이익/자기자본,수익성,확장,4924,4316,608,0.1235,0,0.0,21,0,0.0,-0.681,0.0556,0.5272,-76.7558,20.7878,1.423,0.0002,False,neg_denom=21|data_missing=587,True,,,,,False,True
R022,당기순이익/자기자본(ROE),수익성,확장,4924,4316,608,0.1235,0,0.0,21,0,0.0,-1.5037,0.0449,0.5149,-154.6605,31.2257,2.7354,0.0002,False,neg_denom=21|data_missing=587,True,,,,,False,True
