action_dim,improvement_direction,n,p25,p50,p65,p75,p85,p90,p95
action__ppe_pct,negative,1320,0.022628286218283673,0.053880599182066745,0.08733830606422013,0.1393822521493597,0.2383618200066378,0.3572770461632609,0.5
action__inv_turnover_chg,positive,1160,0.45266688295627283,1.5034912098542568,3.0,3.0,3.0,3.0,3.0
action__ar_turnover_chg,positive,1295,0.3846901706021857,1.0547625797934286,1.837236127507528,2.7740705553251432,3.0,3.0,3.0
action__ap_turnover_chg,negative,1185,0.8011919903663625,2.1729763484188336,3.0,3.0,3.0,3.0,3.0
action__short_debt_pct,negative,923,0.1295023282745214,0.3007181328545781,0.46703982306343717,0.6235610652190322,0.9637527859135051,1.0,1.0
action__long_debt_pct,negative,931,0.2250374463918016,0.45,0.5,0.5,0.5,0.5,0.5
action__bond_pct,negative,410,0.3333333333333333,0.5,0.5,0.5,0.5,0.5,0.5
action__revenue_growth,positive,1545,0.05987662804425812,0.14471550781620224,0.15,0.15,0.15,0.15,0.15
action__cogs_ratio_chg,negative,1225,0.008668212864904157,0.02253119231089118,0.03,0.03,0.03,0.03,0.03
action__sga_ratio_chg,negative,1218,0.005235927503281703,0.014492111464340977,0.02,0.02,0.02,0.02,0.02
