phase,candidate_id,n
phase1_pretrain,A0_noop,3436
phase1_pretrain,CX1_capex_discipline,10954
phase1_pretrain,DL1_deleverage_mild,1900
phase1_pretrain,DL2_deleverage_moderate,753
phase1_pretrain,MX1_cost_and_deleverage,955
phase1_pretrain,MX2_liquidity_rescue,693
phase1_pretrain,OE1_cost_efficiency_mild,4099
phase1_pretrain,OE2_cost_efficiency_moderate,3745
phase1_pretrain,RF1_short_debt_refinance,2370
phase1_pretrain,WC1_working_capital_tightening,6270
phase1_pretrain,WC2_supplier_financing,3015
phase2_bc,A0_noop,3436
phase2_bc,CX1_capex_discipline,10954
phase2_bc,DL1_deleverage_mild,1900
phase2_bc,DL2_deleverage_moderate,753
phase2_bc,MX1_cost_and_deleverage,955
phase2_bc,MX2_liquidity_rescue,693
phase2_bc,OE1_cost_efficiency_mild,4099
phase2_bc,OE2_cost_efficiency_moderate,3745
phase2_bc,RF1_short_debt_refinance,2370
phase2_bc,WC1_working_capital_tightening,6270
phase2_bc,WC2_supplier_financing,3015
phase3_iql,A0_noop,31
phase3_iql,CX1_capex_discipline,1007
phase3_iql,DL1_deleverage_mild,170
phase3_iql,DL2_deleverage_moderate,76
phase3_iql,MX1_cost_and_deleverage,72
phase3_iql,MX2_liquidity_rescue,68
phase3_iql,OE1_cost_efficiency_mild,368
phase3_iql,OE2_cost_efficiency_moderate,312
phase3_iql,RF1_short_debt_refinance,194
phase3_iql,WC1_working_capital_tightening,568
phase3_iql,WC2_supplier_financing,293
