magnitude_quantile,expectile_tau,beta,encoder_finetune,learning_rate,weight_decay,selection_metric,status
50,0.5,1.0,False,0.0001,0.002,q_pareto_knee,REGISTERED_NOT_RUN
50,0.5,1.0,True,0.0001,0.002,q_pareto_knee,REGISTERED_NOT_RUN
50,0.5,3.0,False,0.0001,0.002,q_pareto_knee,REGISTERED_NOT_RUN
50,0.5,3.0,True,0.0001,0.002,q_pareto_knee,REGISTERED_NOT_RUN
50,0.5,10.0,False,0.0001,0.002,q_pareto_knee,REGISTERED_NOT_RUN
50,0.5,10.0,True,0.0001,0.002,q_pareto_knee,REGISTERED_NOT_RUN
50,0.7,1.0,False,0.0001,0.002,q_pareto_knee,REGISTERED_NOT_RUN
50,0.7,1.0,True,0.0001,0.002,q_pareto_knee,REGISTERED_NOT_RUN
50,0.7,3.0,False,0.0001,0.002,q_pareto_knee,REGISTERED_NOT_RUN
50,0.7,3.0,True,0.0001,0.002,q_pareto_knee,REGISTERED_NOT_RUN
50,0.7,10.0,False,0.0001,0.002,q_pareto_knee,REGISTERED_NOT_RUN
50,0.7,10.0,True,0.0001,0.002,q_pareto_knee,REGISTERED_NOT_RUN
50,0.8,1.0,False,0.0001,0.002,q_pareto_knee,REGISTERED_NOT_RUN
50,0.8,1.0,True,0.0001,0.002,q_pareto_knee,REGISTERED_NOT_RUN
50,0.8,3.0,False,0.0001,0.002,q_pareto_knee,REGISTERED_NOT_RUN
50,0.8,3.0,True,0.0001,0.002,q_pareto_knee,REGISTERED_NOT_RUN
50,0.8,10.0,False,0.0001,0.002,q_pareto_knee,REGISTERED_NOT_RUN
50,0.8,10.0,True,0.0001,0.002,q_pareto_knee,REGISTERED_NOT_RUN
50,0.9,1.0,False,0.0001,0.002,q_pareto_knee,REGISTERED_NOT_RUN
50,0.9,1.0,True,0.0001,0.002,q_pareto_knee,REGISTERED_NOT_RUN
50,0.9,3.0,False,0.0001,0.002,q_pareto_knee,REGISTERED_NOT_RUN
50,0.9,3.0,True,0.0001,0.002,q_pareto_knee,REGISTERED_NOT_RUN
50,0.9,10.0,False,0.0001,0.002,q_pareto_knee,REGISTERED_NOT_RUN
50,0.9,10.0,True,0.0001,0.002,q_pareto_knee,REGISTERED_NOT_RUN
65,0.5,1.0,False,0.0001,0.002,q_pareto_knee,REGISTERED_NOT_RUN
65,0.5,1.0,True,0.0001,0.002,q_pareto_knee,REGISTERED_NOT_RUN
65,0.5,3.0,False,0.0001,0.002,q_pareto_knee,REGISTERED_NOT_RUN
65,0.5,3.0,True,0.0001,0.002,q_pareto_knee,REGISTERED_NOT_RUN
65,0.5,10.0,False,0.0001,0.002,q_pareto_knee,REGISTERED_NOT_RUN
65,0.5,10.0,True,0.0001,0.002,q_pareto_knee,REGISTERED_NOT_RUN
65,0.7,1.0,False,0.0001,0.002,q_pareto_knee,REGISTERED_NOT_RUN
65,0.7,1.0,True,0.0001,0.002,q_pareto_knee,REGISTERED_NOT_RUN
65,0.7,3.0,False,0.0001,0.002,q_pareto_knee,REGISTERED_NOT_RUN
65,0.7,3.0,True,0.0001,0.002,q_pareto_knee,REGISTERED_NOT_RUN
65,0.7,10.0,False,0.0001,0.002,q_pareto_knee,REGISTERED_NOT_RUN
65,0.7,10.0,True,0.0001,0.002,q_pareto_knee,REGISTERED_NOT_RUN
65,0.8,1.0,False,0.0001,0.002,q_pareto_knee,REGISTERED_NOT_RUN
65,0.8,1.0,True,0.0001,0.002,q_pareto_knee,REGISTERED_NOT_RUN
65,0.8,3.0,False,0.0001,0.002,q_pareto_knee,REGISTERED_NOT_RUN
65,0.8,3.0,True,0.0001,0.002,q_pareto_knee,REGISTERED_NOT_RUN
65,0.8,10.0,False,0.0001,0.002,q_pareto_knee,REGISTERED_NOT_RUN
65,0.8,10.0,True,0.0001,0.002,q_pareto_knee,REGISTERED_NOT_RUN
65,0.9,1.0,False,0.0001,0.002,q_pareto_knee,REGISTERED_NOT_RUN
65,0.9,1.0,True,0.0001,0.002,q_pareto_knee,REGISTERED_NOT_RUN
65,0.9,3.0,False,0.0001,0.002,q_pareto_knee,REGISTERED_NOT_RUN
65,0.9,3.0,True,0.0001,0.002,q_pareto_knee,REGISTERED_NOT_RUN
65,0.9,10.0,False,0.0001,0.002,q_pareto_knee,REGISTERED_NOT_RUN
65,0.9,10.0,True,0.0001,0.002,q_pareto_knee,REGISTERED_NOT_RUN
75,0.5,1.0,False,0.0001,0.002,q_pareto_knee,REGISTERED_NOT_RUN
75,0.5,1.0,True,0.0001,0.002,q_pareto_knee,REGISTERED_NOT_RUN
75,0.5,3.0,False,0.0001,0.002,q_pareto_knee,REGISTERED_NOT_RUN
75,0.5,3.0,True,0.0001,0.002,q_pareto_knee,REGISTERED_NOT_RUN
75,0.5,10.0,False,0.0001,0.002,q_pareto_knee,REGISTERED_NOT_RUN
75,0.5,10.0,True,0.0001,0.002,q_pareto_knee,REGISTERED_NOT_RUN
75,0.7,1.0,False,0.0001,0.002,q_pareto_knee,REGISTERED_NOT_RUN
75,0.7,1.0,True,0.0001,0.002,q_pareto_knee,REGISTERED_NOT_RUN
75,0.7,3.0,False,0.0001,0.002,q_pareto_knee,REGISTERED_NOT_RUN
75,0.7,3.0,True,0.0001,0.002,q_pareto_knee,REGISTERED_NOT_RUN
75,0.7,10.0,False,0.0001,0.002,q_pareto_knee,REGISTERED_NOT_RUN
75,0.7,10.0,True,0.0001,0.002,q_pareto_knee,REGISTERED_NOT_RUN
75,0.8,1.0,False,0.0001,0.002,q_pareto_knee,REGISTERED_NOT_RUN
75,0.8,1.0,True,0.0001,0.002,q_pareto_knee,REGISTERED_NOT_RUN
75,0.8,3.0,False,0.0001,0.002,q_pareto_knee,REGISTERED_NOT_RUN
75,0.8,3.0,True,0.0001,0.002,q_pareto_knee,REGISTERED_NOT_RUN
75,0.8,10.0,False,0.0001,0.002,q_pareto_knee,REGISTERED_NOT_RUN
75,0.8,10.0,True,0.0001,0.002,q_pareto_knee,REGISTERED_NOT_RUN
75,0.9,1.0,False,0.0001,0.002,q_pareto_knee,REGISTERED_NOT_RUN
75,0.9,1.0,True,0.0001,0.002,q_pareto_knee,REGISTERED_NOT_RUN
75,0.9,3.0,False,0.0001,0.002,q_pareto_knee,REGISTERED_NOT_RUN
75,0.9,3.0,True,0.0001,0.002,q_pareto_knee,REGISTERED_NOT_RUN
75,0.9,10.0,False,0.0001,0.002,q_pareto_knee,REGISTERED_NOT_RUN
75,0.9,10.0,True,0.0001,0.002,q_pareto_knee,REGISTERED_NOT_RUN
85,0.5,1.0,False,0.0001,0.002,q_pareto_knee,REGISTERED_NOT_RUN
